time,market_return,average_absolute_return,cross_sectional_dispersion,positive_asset_fraction,next_market_return,KMeans_regime,GMM_regime,BayesianGMM_regime,GMM_max_probability,BayesianGMM_max_probability
1,-0.01513283843607161,0.018276939257867372,0.016910432118604615,0.19607843137254902,-0.006694790502726793,0,0,0,0.9738978919998053,1.0
2,-0.006694790502726793,0.016495222720201954,0.021412427030734798,0.35294117647058826,0.002012140123043067,0,0,0,0.7291337648052211,1.0
3,0.002012140123043067,0.015403872027433825,0.02031674462362834,0.5294117647058824,0.011414243312454594,0,1,0,0.6655139672540018,1.0
4,0.011414243312454594,0.015508405251277453,0.01670709627850712,0.7647058823529411,-0.004881886466534936,1,1,0,0.9632726225052433,1.0
5,-0.004881886466534936,0.014702800177424867,0.018299555628710464,0.35294117647058826,0.012577943391031209,0,0,0,0.905177431934956,1.0
6,0.012577943391031209,0.022528550464803034,0.02560705011674078,0.7254901960784313,-0.00045934798244940496,1,1,0,0.9816654479804736,1.0
7,-0.00045934798244940496,0.014717599627133279,0.020644818369012774,0.47058823529411764,-0.009465112253775318,0,1,0,0.5561994687767846,1.0
8,-0.009465112253775318,0.016126863971659047,0.01986690362518827,0.3333333333333333,0.0004865142624916101,0,0,0,0.8561318200197888,1.0
9,0.0004865142624916101,0.012009772446362522,0.01685320018247931,0.5294117647058824,0.012233012261724052,1,1,0,0.7463316012783937,1.0
10,0.012233012261724052,0.02065245248553339,0.028944766486014895,0.6274509803921569,0.01759210418817017,1,1,0,0.8602932897670023,1.0
11,0.01759210418817017,0.023554418338154623,0.024904847150052388,0.803921568627451,-0.005094236021503063,1,1,0,0.9430649962383301,1.0
12,-0.005094236021503063,0.01650295335558354,0.021225219020158947,0.3137254901960784,0.0069274761177563395,0,0,0,0.8151107677568373,1.0
13,0.0069274761177563395,0.017893863803802913,0.02208835560643466,0.6470588235294118,-0.0027987545516292523,1,1,0,0.8489114262996046,1.0
14,-0.0027987545516292523,0.016450951523810098,0.021964140327941615,0.39215686274509803,0.002888610377253781,0,0,0,0.6541952723972255,1.0
15,0.002888610377253781,0.015692162993511387,0.02090209273588978,0.6470588235294118,0.004661967750814069,1,1,0,0.8387268545208132,1.0
16,0.004661967750814069,0.014659397986168509,0.019445694036681834,0.6470588235294118,-0.000271612135747206,1,1,0,0.6920697943174079,1.0
17,-0.000271612135747206,0.013837481839760772,0.01854258058584573,0.47058823529411764,-0.002885509896679176,0,0,0,0.5171915541870592,1.0
18,-0.002885509896679176,0.01709940013967369,0.020894496665280916,0.43137254901960786,-0.0021319913576690955,0,0,0,0.6137178775001668,1.0
19,-0.0021319913576690955,0.01437615804390051,0.01719779850597482,0.43137254901960786,-0.0038151815198740487,0,0,0,0.5454636131073886,1.0
20,-0.0038151815198740487,0.016076681168915797,0.02271652363660445,0.4117647058823529,-0.007972732818106338,0,0,0,0.7123126357301072,1.0
21,-0.007972732818106338,0.018688810759389315,0.02192835821086102,0.35294117647058826,0.005622374387930719,0,0,0,0.8040737052681695,1.0
22,0.005622374387930719,0.015992453694686454,0.01957219656150209,0.5686274509803921,0.007945301499245066,1,1,0,0.7994561912035643,1.0
23,0.007945301499245066,0.016526747257510518,0.019612996743587467,0.6862745098039216,-0.0019114372558792802,1,1,0,0.9274478726200962,1.0
24,-0.0019114372558792802,0.013410971758142558,0.017565283559537525,0.4117647058823529,-0.008930210708483093,0,0,0,0.6975952760687066,1.0
25,-0.008930210708483093,0.017417244515830474,0.02067319931695032,0.3137254901960784,0.00441211263806737,0,0,0,0.9265965138573157,1.0
26,0.00441211263806737,0.015852040548869063,0.02250739916923424,0.5882352941176471,-0.001738716593562077,1,1,0,0.9075055630463622,1.0
27,-0.001738716593562077,0.016477525558283253,0.022188423889149905,0.39215686274509803,0.007629933497040061,0,0,0,0.6688731722535445,1.0
28,0.007629933497040061,0.017464293396186915,0.02247301320962345,0.6274509803921569,-0.0023503479726667857,1,1,0,0.7340475646772434,1.0
29,-0.0023503479726667857,0.01463995922726434,0.019291887623496595,0.45098039215686275,0.001967942472841469,0,0,0,0.6806467161901254,1.0
30,0.001967942472841469,0.01415381924427087,0.018283124401561657,0.49019607843137253,0.013482123220634605,1,1,0,0.5154383233940809,1.0
31,0.013482123220634605,0.020608462779971144,0.023358867669650403,0.7254901960784313,0.003704560076443277,1,1,0,0.9390236797242518,1.0
